key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
text_replay,战役选择,戰役選擇,Select Battle,戦役選択,작전 선택
text_timemap,时间轴,時間軸,Timeline,時間軸,시간축
text_item_prepare,道具整备,道具整備,Item Preparation,アイテム整理,아이템 정비
text_scout,战场资讯,戰場資訊,Battlefield Information,戦域詳細,전장 정보
text_reinforce,模拟训练,模擬訓練,Training Simulation,模擬訓練,모의 훈련
text_go,准备就绪,準備就緒,Preparation Complete,準備完了,준비 완료
text_menu,菜单,菜單,Menu,メニュー,메뉴
text_choose,确定,確定,Confirm,決定,확인
text_talk,小憩,小憩,Take a Break,小休止,휴식
text_save,保存,保存,Save,セーブ,저장
text_load,读取,讀取,Load,読み取り,불러오기
text_record,undefined,undefined,undefined,undefined,undefined
text_role_interact,undefined,undefined,undefined,undefined,undefined
