key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10050,请将<color=#9df1f5>蒙德</color>移动至<color=#9df1f5>指定</color>地点。,請將<color=#9df1f5>蒙德</color>移動至<color=#9df1f5>指定</color>地點。,Move <color=#9df1f5>Mendo</color> to the <color=#f9df1f5>specified position</color>.,<color=#9df1f5>モンド</color>を<color=#9df1f5>指定</color>の地点へと動かしてください。,<color=#9df1f5>멘도</color>를 <color=#9df1f5>지정</color> 지점까지 이동시키세요.
10051,请将<color=#9df1f5>蒙德</color>移动至<color=#9df1f5>指定</color>地点。,請將<color=#9df1f5>蒙德</color>移動至<color=#9df1f5>指定</color>地點。,Move <color=#9df1f5>Mendo</color> to the <color=#f9df1f5>specified position</color>.,<color=#9df1f5>モンド</color>を<color=#9df1f5>指定</color>の地点へと動かしてください。,<color=#9df1f5>멘도</color>를 <color=#9df1f5>지정</color> 지점까지 이동시키세요.
10052,请将<color=#9df1f5>蒙德</color>移动至<color=#9df1f5>指定</color>地点。,請將<color=#9df1f5>蒙德</color>移動至<color=#9df1f5>指定</color>地點。,Move <color=#9df1f5>Mendo</color> to the <color=#f9df1f5>specified position</color>.,<color=#9df1f5>モンド</color>を<color=#9df1f5>指定</color>の地点へと動かしてください。,<color=#9df1f5>멘도</color>를 <color=#9df1f5>지정</color> 지점까지 이동시키세요.
10070,请操作<color=#9df1f5>蒙德</color>攻击<color=#9df1f5>优势射程内</color>的敌方单位。,請操作<color=#9df1f5>蒙德</color>攻擊<color=#9df1f5>優勢射程內</color>的敵方單位。,Command <color=#9df1f5>Mendo</color> to attack enemies <color=#9df1f5>within Optimal Range</color>.,<color=#9df1f5>モンド</color>を操作して、<color=#9df1f5>最適射程内</color>の敵ユニットを攻撃してください。,<color=#9df1f5>멘도</color>를 조작해 <color=#9df1f5>우세 사거리 내의</color> 적군 유닛을 공격하세요.
10071,请操作<color=#9df1f5>蒙德</color>攻击<color=#9df1f5>优势射程内</color>的敌方单位。,請操作<color=#9df1f5>蒙德</color>攻擊<color=#9df1f5>優勢射程內</color>的敵方單位。,Command <color=#9df1f5>Mendo</color> to attack enemies <color=#9df1f5>within Optimal Range</color>.,<color=#9df1f5>モンド</color>を操作して、<color=#9df1f5>最適射程内</color>の敵ユニットを攻撃してください。,<color=#9df1f5>멘도</color>를 조작해 <color=#9df1f5>우세 사거리 내의</color> 적군 유닛을 공격하세요.
10072,请操作<color=#9df1f5>蒙德</color>攻击<color=#9df1f5>优势射程内</color>的敌方单位。,請操作<color=#9df1f5>蒙德</color>攻擊<color=#9df1f5>優勢射程內</color>的敵方單位。,Command <color=#9df1f5>Mendo</color> to attack enemies <color=#9df1f5>within Optimal Range</color>.,<color=#9df1f5>モンド</color>を操作して、<color=#9df1f5>最適射程内</color>の敵ユニットを攻撃してください。,<color=#9df1f5>멘도</color>를 조작해 <color=#9df1f5>우세 사거리 내의</color> 적군 유닛을 공격하세요.
1000000,请执行<color=#9df1f5>结束回合</color>。,請執行<color=#9df1f5>結束回合</color>。,Execute <color=#9df1f5>End Turn</color>.,<color=#9df1f5>ターンを終了</color>してください。,<color=#9df1f5>을(를) 실행하여 턴을 종료하세요</color>.
1000001,请执行<color=#9df1f5>结束回合</color>。,請執行<color=#9df1f5>結束回合</color>。,Execute <color=#9df1f5>End Turn</color>.,<color=#9df1f5>ターンを終了</color>してください。,<color=#9df1f5>을(를) 실행하여 턴을 종료하세요</color>.
1000002,请执行<color=#9df1f5>结束回合</color>。,請執行<color=#9df1f5>結束回合</color>。,Execute <color=#9df1f5>End Turn</color>.,<color=#9df1f5>ターンを終了</color>してください。,<color=#9df1f5>을(를) 실행하여 턴을 종료하세요</color>.
10060,请操作<color=#9df1f5>蒙德</color>攻击<color=#9df1f5>指定</color>的敌方单位。,請操作<color=#9df1f5>蒙德</color>攻擊<color=#9df1f5>指定</color>的敵方單位。,Command <color=#9df1f5>Mendo</color> to attack <color=#9df1f5>specified</color> enemies.,<color=#9df1f5>モンド</color>を操作して、<color=#9df1f5>指定された</color>敵ユニットを攻撃してください。,<color=#9df1f5>멘도</color>를 조작해 <color=#9df1f5>지정된</color> 적군 유닛을 공격하세요.
