key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
5100010,普通登山鞋,普通登山鞋,Basic Hiking Boots,普通の登山靴,기본 등산화
5000000,轻便登山鞋,輕便登山鞋,Lightweight Hiking Boots,軽い登山靴,경량 등산화
5000010,耐磨登山鞋,耐磨登山鞋,Durable Hiking Boots,丈夫な登山靴,튼튼한 등산화
5000020,加厚登山靴,加厚登山靴,Thick Hiking Boots,厚底の登山靴,두꺼운 등산화
5000030,军用登山靴,軍用登山靴,Military Hiking Boots,軍用登山靴,군용 등산화
5000040,南联轻型战靴,南聯輕型戰靴,AU Light Combat Boots,南連用軽量ブーツ,남련 경량 전투화
5000050,南联重型战靴,南聯重型戰靴,AU Heavy Combat Boots,南連用重量ブーツ,남련 중형 전투화
5000060,寒带特型战靴,寒帶特型戰靴,Arctic Warfare Combat Boots,寒帯用特殊ブーツ,방한 특수 전투화
5000070,特种部队战靴,特種部隊戰靴,Special Forces Combat Boots,特殊部隊用ブーツ,특수 부대 전투화
5000080,自加热战术靴,自加熱戰術靴,Self-Heating Tactical Boots,自動加熱戦術ブーツ,자체 발열 전술화
5000090,数字化战术靴,數位化戰術靴,Digital Tactical Boots,デジタル戦術ブーツ,디지털 전술화
5100020,普通护目镜,普通護目鏡,Ordinary Goggles,普通のゴーグル,일반 고글
5000100,野外护目镜,野外護目鏡,Outdoor Goggles,野外ゴーグル,야외 고글
5000120,高山墨镜,高山墨鏡,Alpine Sunglasses,高山用サングラス,알파인 선글라스
5000140,偏光雪镜,偏光雪鏡,Polarized Snow Googles,偏光スノーゴーグル,편광 고글
5000150,多功能战术镜,多功能戰術鏡,Multi-Purpose Tactical Googles,多機能戦術ゴーグル,다기능 전술 고글
5100030,基础夜视镜片,基礎夜視鏡片,Basic Night Vision Lens,ベーシック暗視レンズ,기본 야간투시 렌즈
5000110,防雾夜视镜片,防霧夜視鏡片,Anti-Fog Night Vision Lens,くもり防止暗視レンズ,김서림 방지 야간투시 렌즈
5000130,雷达探测镜片,雷達探測鏡片,Radar Detection Lens,レーダー検知用レンズ,레이더 감지 렌즈
5000160,红外热像镜片,紅外熱像鏡片,Infrared Thermal Lens,赤外線検知用レンズ,적외선 열화상 렌즈
5000170,特级军工定位镜,特級軍工定位鏡,Special Military Detection Lens,エージェント位置確認用ゴーグル,특수 군용 위치추적 렌즈
5100040,轻型背包,輕型背包,Lightweight Backpack,軽量リュック,경량 배낭
5000200,大容量战术包,大容量戰術包,Large Tactical Storage Bag,大容量コンバットバッグ,대용량 전술 가방
5000210,坍塌收纳包,坍塌收納包,Collapse Storage Bag,コーラップス収納袋,붕괴 수납 가방
5000300,单兵露营袋,單兵露營袋,Tactical Sleeping System,一人用キャンプバッグ,1인용 캠핑 텐트
5000310,简易帐篷,簡易帳篷,Simple Tent,簡易テント,간이 텐트
5000320,军用帐篷,軍用帳篷,Military Tent,軍用テント,군용 텐트
5000330,御寒帐篷,禦寒帳篷,Winter Tent,防寒テント,방한 텐트
5000340,豪华帐篷,豪華帳篷,Deluxe Tent,豪華テント,고급 텐트
5000350,堡垒帐篷,堡壘帳篷,Fortified Tent,要塞用テント,요새 텐트
