key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
1010,月刊档案 - 最新区域定义,月刊檔案 - 最新區域定義,Monthly Magazine Archive: Latest Zone Definitions,月刊アーカイヴ- 最新の区域定義,월간 파일 - 최신 구역의 정의
1020,人形权益相关稿件,人形權益相關稿件,Dolls Rights Related Manuscript,人形の権益に関する原稿,인형 권익 관련 원고
1030,南极战争事态简述,南極戰爭事態簡述,Summary of the Antarctic War Situation,南極戦争の状況に関する概要,남극 전쟁 사건 요약
1040,救援组织成立始末,救援組織成立始末,The Establishment and History of the Rescue Foundation,救援組織設立の顛末,구조재단의 창설
1050,90年代末人形技术应用,90年代末人形技術應用,Application of Doll Technology in the late 90s,90年代末の人形技術の応用,1990년대 휴반 휴머노이드 기술의 적용
2010,代号“面包房行动”简报,代號“麵包房行動”簡報,"Codename ""Operation Bakery"" Briefing",コードネーム「パン屋作戦」の概要,코드명 ‘베이커리 작전’ 브리핑
2020,电话记录7：03,電話記錄7：03,Phone Log 7:03,電話記録7：03,전화기록7:03
2030,代号“面包房行动”作战报告,代號“麵包房行動”作戰報告,"Codename ""Operation Bakery"" Operational Report",コードネーム「パン屋作戦」の戦闘報告,코드명 ‘베이커리 작전’ 작전 보고
2040,“帕拉蒂斯”调查档案,“帕拉蒂斯”調查檔案,"""Paradeus"" Investigation Files",「パラデウス」調査ファイル,‘패러데우스’ 조사 문서
2050,内高加索战区单位部署指令,內高加索戰區單位部署指令,Inner Caucasus Theater Deployment Instructions,内コーカサス戦域ユニット配置司令,북카프카스 군관구 부대 배치 지침
2060,NSC-68,NSC-68,NSC-68,NSC-68,NSC-68
2070,瓦尔沙事件档案,瓦爾沙事件檔案,Warszawa Incident Files,ワルシャー事件ファイル,바르샤바 사건 문서
3010,南联科技成果合集,南聯科技成果合集,Antarctic Union Technological Achievements,南連技術成果大全,남련 과학기술 성과 모음
3020,监视记录,監視記錄,Surveillance Records,監視記録,감시 기록
3021,230459-4-68472,230459-4-68472,230459-4-68472,230459-4-68472,230459-4-68472
3030,CP57号档案,CP57號檔案,CP57 Files,CP57号ファイル,CP57호 파일
3040,南联基因培育技术调查报告,南聯基因培育技術調查報告,Antarctic Union's Genetics Breeding Technology Investigation Reports,南連ゲノム育成技術の調査報告,남련 유전자 육종 기술 조사 보고서
3050,辐射病治疗报告,輻射病治療報告,Radiation Sickness Treatment Report,放射線障害治療報告,방사선 질환 치료 보고서
3060,“三女神”实验记录档案,“三女神”實驗記錄檔案,"Records of the ""GAVIRUL"" Experiment",「三女神」実験記録ファイル,‘삼여신’ 실험실 기록 문서
3070,录音备忘录 2030年6月19日至25日,錄音備忘錄 2030年6月19日至25日,"Audio Record of June 19th – June 25th, 2030",録音メモ 2030年6月19日～25日,오디오 메모 2030년 6월 19~25일
4010,坍塌与逆向坍塌技术概论,坍塌與逆向坍塌技術概論,Introduction to Collapse and Reverse-Collapse Technologies,コーラップスおよび逆コーラップス技術の概要,붕괴 및 역붕괴 기술 소개
4020,AD1945-AD1981 遗迹时代,AD1945-AD1981 遺跡時代,"AD 1945 – AD 1981, the Age of Relics",AD1945-AD1981 遺跡時代,AD1945-AD1981 유적시대
4030,近代遗迹研究,近代遺跡研究,Research on Modern Relics,近代遺跡の研究,근대 유적 연구
4040,GAVIRUL重现计划,GAVIRUL重現計畫,GAVIRUL Reproduction Project,GAVIRUL再現プロジェクト,GAVIRUL 재현 계획
4050,仆役,僕役,Servant,下僕,하인
4060,第一次北兰岛事件,第一次北蘭島事件,First Beilan Island Incident,第一次北蘭島事件,제1차 북란도 사건
4070,第三次世界大战与南极独立,第三次世界大戰與南極獨立,The Third World War and Antarctic Independence,第三次世界大戦と南極独立,제3차 세계대전 및 남극 독립
4080,南极联邦成立与第一次南极战争,南極聯邦成立與第一次南極戰爭,Establishment of the Antarctic Union and the First Antarctican War,南極連邦設立と第一次南極戦争,남극연방의 설립 및 제1차 남극전쟁
4090,低辐射广域性感染症,低輻射廣域性感染症,Eurosky Low-Emission Infectious Disease,広域低輻射能感染症,광역성 저복사 감염증
4100,三女神计划,三女神計畫,GAVIRUL Project,三女神計画,삼여신 계획
