key_name,ko_kr
5010001,[5010001] 간신히 살아남은 종이 조각. 위에는 의미가 불확실한 코드가 새겨져 있다. 별장을 샅샅이 뒤져봤지만 사용할 수 있는 곳은 안 보인다.
5010011,"[5010011] 원 주인이 방에 남겨둔 매우 따뜻한 코트. ""베이커리""한테 필요할 것 같다."
5010012,[5010012] 출처: 제1장 제1막
5010021,[5010021] 폭설 속에서도 신비롭게 피어난 아름다운 꽃. 현지인들은 이 꽃이 평화와 희망을 가져다준다고 믿는다.
5010022,[5010022] 출처: 제1장 제2막
5010030,[5010030] 전리품 가득 찬 상자
5010031,"[5010031] 무거운 상자 속에는 구식 총열덮개, 장난감 블록과 유리 병들이 가득 채워져있다. 그리고 한쪽 구석에는 솔방울도 몇 개 들어있다…… 그런데 무슨 쓸모가 있는 걸까?"
5010032,[5010032] 출처: 제1장 제3막
5010041,[5010041] 생명의 안전을 완전히 보장되지는 않더라도 철혈의 병사들의 필수 장비.
5010042,[5010042] 출처: 제1장 제4막
5010061,"[5010061] 풍상고초를 겪은 방패, 이미 부서졌지만 정교한 만듬새가 느껴진다. 가까이 가면 투기장에서 용맹하게 싸우는 용자의 함성 소리가 들리는 것만 같다."
5010062,[5010062] 출처: 제1장 제5막
5010081,[5010081] 눈사람에게서 얻은 ‘단추’. 자세히 보니 수년 전 패션 업계에서 널리 유통됐던 화폐로 지금은 쓸 만한 가치가 없지만 소지자에게 행운을 가져다 준다고 한다.
5010082,[5010082] 출처: 제1장 제6막
5020031,[5020031] 관리가 잘 된 최신 패션 가발. 제퓨티가 쓰고 다니면 흰머리 때문에 눈에 띄지 않을지도 모른다.
5020032,[5020032] 출처: 제2장 제1막
5020040,[5020040] 귀중한 게임 카세트
5020041,[5020041] 크리스탈 케이스에 담긴 오래된 게임 카세트. 아마도 수집가에게는 외부 포장과 설명서가 부족할지도 모른다.
5020042,[5020042] 출처: 제2장 제2막
