key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,蒙德,蒙德,Mendo,モンド,멘도
11,行动便服,行動便服,Operation Garb,作戦服,작전 평상복
12,一件外表看起来平平无奇的制服，仿照当下难民救援队服装样式设计而成。实际上此衣服是南联军队为狐狸小队特制的，完全满足他们外勤行动需求。,一件外表看起來平平無奇的制服，仿照難民救援隊服裝樣式設計而成。實際上此衣服是南聯軍隊為狐狸小隊特製的，完全滿足他們外勤行動需求。,"A seemingly ordinary-looking uniform designed to resemble the attire of the Global Rescue Foundation. In reality, this outfit is custom-made for Squad Fox by the Antarctican military, perfectly fulfilling the requirements for their field operations.",当時の難民救援隊の服装をもとにデザインされた、一見なんの変哲もない制服。実は南極連邦軍の仕立てたフォックス小隊専用の特注品で、彼らの外勤任務ニーズを完璧に満たしている。,"겉으로 보기엔 그저 무난한 유니폼, 난민 구조대의 복장 스타일을 따서 디자인 한 것이다. 실제로는 남련 군에서 FOX 소대를 위해 특별 제작한 복장으로 작전 수행에 필요한 점들을 고려하여 설계되었다."
13,初始获得,初始獲得,Starting Outfit,初めから所持,시작 시 획득
30,蒙德,蒙德,Mendo,モンド,멘도
31,塔萨作战服,塔薩作戰服,TASA Combat Uniform,TASAコンバットスーツ,TASA작전복
32,上一代的塔萨冬季作战服。蒙德曾经受训于塔萨小队，因此拥有一套属于他自己的塔萨作战服。,上一代的塔薩冬季作戰服。蒙德曾經受訓於塔薩小隊，因此擁有一套屬於他自己的塔薩作戰服。,"A previous generation TASA winter combat uniform. Mendo was once trained in a TASA squad; thus, he possesses a personal set of TASA combat uniform.",一昔前のTASA冬用コンバットスーツ。モンドは過去にTASA小隊の訓練を受けたことがあるため、自分用のTASAコンバットスーツを持っている。,지난 세대의 TASA 겨울 작전복 멘도는 TASA 소대에서 훈련받았기 때문에 그만의 TASA작전복을 가지고 있다.
33,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
20,蒙德,蒙德,Mendo,モンド,멘도
21,老式作战服,老式作戰服,Old Style Combat Uniform,古いコンバットスーツ,오래된 전투복
22,相当老的款式，就连蒙德自己都记不得还穿过这样一件衣服。,相當老的款式，就連蒙德自己都記不得還穿過這樣一件衣服。,An old style uniform that even Mendo himself can't remember wearing.,デザインがかなり古く、いつ着たのか、モンドも覚えていない。,"오래된 스타일로, 멘도 자신조차도 이런 옷을 입었는지 기억하지 못한다."
23,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
40,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
41,毛皮大衣,毛皮大衣,Fur Coat,毛皮のコート,모피 코트
42,看起来并不算保暖的毛皮大衣，是为了方便混迹于难民之中躲避追击，随便找来的破旧衣服。,看起來並不算保暖的毛皮大衣。為了方便混進難民之中躲避追擊，隨便找來的破舊衣服。,A fur coat that doesn't look particularly warm—just a scruffy old piece of clothing chosen to better blend in among refugees and evade pursuit.,あまり暖かそうには見えない毛皮のコート。難民に紛れて追跡から逃げるため、適当に見つけた古い衣類だ。,별로 따뜻해보이지 않는 모피 코트. 난민들 속에 숨어 추격을 피하기 위해 대충 찾아온 허름한 옷. 
43,初始获得,初始獲得,Starting Outfit,初めから所持,시작 시 획득
60,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
61,制式大衣,制式大衣,Standard Coat,制式コート,제식 코트
62,一件既保暖又美观的大衣，是南极曾经非常流行的制服款式。大衣干净整洁，还带着淡淡的洗衣液的清香。,一件既保暖又美觀的大衣，是南極曾經非常流行的制服款式。大衣乾淨整潔，還帶著淡淡的洗衣液的清香。,"A warm and stylish coat from a uniform style that was once very trendy in Antarctica. The coat is clean and tidy, with a faint fragrance of laundry detergent.",あたたかくて見映えのよいコート。一時南極で大流行した制式仕様。コートは清潔で、ほんのり洗剤の香りがする。,"따뜻하고 예쁜 코트, 남극에서 예전에 유행하던 제복 스타일이다. 코트는 깨끗하고 정갈하며, 은은한 세제 냄새가 난다."
63,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
50,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
51,旧日大衣,舊日大衣,Old Style Coat,昔のコート,낡은 코트
52,款式老旧的大衣，看起来至少有十年的历史了。记忆之中，这是属于第一次“面包房”行动的物品。,款式老舊的大衣，看起來至少有十年的歷史了。記憶之中，這是屬於第一次“麵包房”行動的物品。,"An old style coat that appears to be at least ten years old. From memory, this was used in the first Operation Bakery.",デザインが古いコート。10年以上前のものに見える。これは確か、最初の「パン屋」作戦のアイテムだ。,"오래된 스타일의 코트, 적어도 10년은 된 거 같다. 기억하기로는 이건 첫 번째 ‘베이커리’ 작전의 물품이다."
53,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
70,阿特娜,阿特娜,Atena,アテナ,아테나
71,保暖棉衣,保暖棉衣,Warm Cotton Overcoat,暖かな綿入り服,보온 솜옷
72,高加索山脉区域气候寒冷，这样一件包裹性非常好的棉衣是有助于阿特娜执行野外任务的。,高加索山脈區域氣候寒冷，這樣一件包裹性非常好的棉衣是有助於阿特娜執行野外任務的。,"With the cold climate in the Caucasus Mountains, a well insulated cotton jacket like this is helpful for Atena's field operations.",コーカサス山脈区域の気候は非常に寒冷なため、このような保温性に優れた中綿の服は、アテナが野外任務を遂行する際の助けとなっている。,카프카스 산맥 지역은 기후가 추워 아테나가 야외 임무를 수행하는 데 잘 감싸주는 솜옷이 도움이 된다.
73,初始获得,初始獲得,Starting Outfit,初期獲得,시작 시 획득
90,阿特娜,阿特娜,Atena,アテナ,아테나
91,塔萨作战服,塔薩作戰服,TASA Combat Uniform,TASAコンバットスーツ,TASA작전복
92,塔萨小队女性冬季作战服，兼顾了实用性与美感，是南联军用战服中的优秀代表。因为这一身飒爽军服，也让塔萨成为了“最想加入的小队”投票的第一名。,塔薩小隊女性冬季作戰服，兼顧了實用性與美感，是南聯軍用戰服中的優秀代表。因為這一身颯爽軍服，也讓塔薩成為了“最想加入的小隊”投票的第一名。,"TASA Squad's female winter combat uniform, practical and fashionable. It is an excellent representative among the AU military uniforms. Because of this chic military attire, TASA became the first choice in the ""Most Desirable Squad to Join"" survey.",TASA小隊の冬用レディースコンバットスーツ。実用的で見映えのよい、南連コンバットスーツの代表格。このさっそうたるコンバットスーツのおかげで、TASAは「一番入りたい小隊」の1位に選ばれた。,"TASA 소대의 여성 겨울 작전복, 실용성과 스타일을 모두 고려한 남련 군용 작전복 중에서도 우수한 옷이다. 이 늠름한 군복 덕분에 TASA는 ‘가장 합류하고 싶은 소대’ 투표 1위에 오르기도 했다."
93,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
80,阿特娜,阿特娜,Atena,アテナ,아테나
81,冬日棉衣,冬日棉衣,Winter Coat,冬用キルティングウェア,겨울 솜패팅
82,虽然样式老旧，但与高加索山脉区域衰败的环境非常契合。,雖然樣式老舊，但與高加索山脈區域衰敗的環境非常契合。,"Despite its outdated style, the coat blends seamlessly with the deteriorating environment of the Caucasus Mountains.",デザインは古いが、コーカサス山脈区域の朽ち果てた環境によく合う。,스타일은 촌스럽지만 카프카스 산맥 구역의 쇠퇴한 환경과 잘 맞는다.
83,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
100,卡尔,卡爾,Carl,カール,칼
101,作战便服,作戰便服,Combat Uniform,作戦用平服,작전 유니폼
102,一件看起来非常普通的冬季大衣。为了能够更好融入高加索当地，穿着毫无特色也是特工行动的准则之一。,一件看起來非常普通的冬季大衣。為了能夠更好融入高加索當地，穿著毫無特色也是特工行動的準則之一。,A seemingly ordinary winter coat worn in order to blend in with the locals of the Caucasus. Wearing inconspicuous clothing is also one of the rules of being an agent.,何の変哲もない普通の冬用コート。コーカサス地区に自然に溶け込めるよう、このように無個性な衣服を身に纏うのもエージェントの心得の一つである。,일반적인 겨울 코트 한 벌. 카프카스 현지에 더 잘 녹아들기 위해 눈에 띄지 않는 복장 또한 특공의 행동 강령 중 하나이다.
103,初始获得,初始獲得,Starting Outfit,初期獲得,시작 시 획득
120,卡尔,卡爾,Carl,カール,칼
121,罗联指挥官大衣,羅聯指揮官大衣,URNC Commander Coat,ロ連司令官のコート,루련 지휘관 코트
122,罗联当地指挥官级别才可以穿的专属大衣。长衣及靴，毛领点缀，既保暖又美观，是每个普通罗联士兵都梦想拥有的制服。,羅聯當地指揮官級別才可以穿的專屬大衣。長衣及靴，毛領點綴，既保暖又美觀，是每個普通羅聯士兵都夢想擁有的制服。,"An exclusive coat reserved for local URNC Commanders. Adorned with a fur collar, it seamlessly combines warmth and fashion with its long coat and accompanying boots. It is the coveted uniform that every URNC soldier dreams of having.",ロ連の現地司令官クラスだけが着用できる専用コート。ファーネック付きのロングコートとブーツはあたたかくて見映えがよく、一般ロ連兵にとって憧れの制服。,"루련 현지의 사령관 레벨만이 입을 수 있는 전용 코트. 긴 옷과 부츠, 털칼라로 포인트를 주어 따뜻하고 아름다우며, 평범한 루련 병사라면 누구나 갖고 싶어 하는 제복이다."
123,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
110,卡尔,卡爾,Carl,カール,칼
111,防风大衣,防風大衣,Windproof Coat,防風コート,방풍 코트
112,样式古旧，毫无特色，看起来非常有年代感的防风大衣，似乎在十年前的南联短暂流行过一阵。,樣式古舊，毫無特色，看起來非常有年代感的防風大衣，似乎在十年前的南聯短暫流行過一陣。,"An old-fashioned, featureless windproof coat that exudes a vintage vibe. It appears to have briefly gained popularity in the AU a decade ago.",デザインが古く地味で、時代を感じさせる防風コート。10年前に南連で一時流行ったようだ。,촌스럽고 특징이 없다. 연식이 느껴지는 방풍 코트이다. 10년 전에 남련에서 짧게 유행한 듯하다.
113,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
130,黎格,黎格,Lige,リゲル,리겔
