key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
100,阻隔器,阻隔器,inhibitor,意識遮断装置,차단기
101,把实验室大楼人调走,把實驗室大樓人調走,Get everyone out of the lab,実験棟の人払い,실험실 건물 안에 있는 사람들을 내보내줘
102,一起离开,一起離開,Leave together,一緒に逃げる,함께 떠나자
110,你想利用它控制黎格，获得力量,你想利用它控制黎格，獲得力量,You want to use it to control Lige and gain power,リゲルを操って力を手に入れようとしている,"너는 그것을 이용해 리겔을 조종하고, 힘을 얻으려 하고 있어"
111,你想拿着它向罗联邀功,你想拿著它向羅聯邀功,You want to take credit for it with the URNC,ロ連への手土産にしようとしている,너는 그것을 들고 루련에서 공을 세우려 하고 있어
112,你想利用它杀了我和黎格,你想利用它殺了我和黎格,You tried to use it to kill me and Lige,私とリゲルを殺す手段にしようとしている,너는 그것을 이용해 나와 리겔을 죽이려 하고 있어
120,你就是瓦尔沙城惨剧的受害者,你就是瓦爾沙城慘劇的受害者,You are a victim of the tragedy in Warszawa,あんたはワルシャー事件の被害者だ,당신은 바르샤바 사건의 피해자다
121,你就是瓦尔沙城惨剧的制造者,你就是瓦爾沙城慘劇的製造者,You are responsible for the tragedy in Warszawa,あんたはワルシャー事件の首謀者だ,당신은 바르샤바 사건의 주모자다
122,你就是瓦尔沙城惨剧的帮凶,你就是瓦爾沙城慘劇的幫兇,You are an accomplice to what happened in Warszawa,あんたはワルシャー事件の共犯者だ,당신은 바르샤바 사건의 조력자다
130,我也算是人类,我也算是人類,I'm kind of a human too,私だって人間だ,나도 인간이야
131,我不是伯劳细胞,我不是伯勞細胞,I'm not a Shrike cell,私はシュライクじゃない,나는 슈라이크가 아니야
132,伯劳细胞也有它的作用,伯勞細胞也有它的作用,Shrike cells also have a role to play,シュライク細胞にも使い所はある,슈라이크는 그만의 쓸모가 있어
140,提供武器：血弹,提供武器：血彈,Weapons supplied: Blood Bullets,血液弾を提供する,혈탄을 제공해줄게
141,我亲自帮你解决它,我親自幫你解決它,I'll personally help you solve it.,私が片付けてあげる,내가 해결해 줄게
142,自己做诱饵吸引真正的伯劳,自己做誘餌吸引真正的伯勞,Create a decoy to attract the real Shrike,私が本物のシュライクを誘き寄せる,내가 미끼가 되어 진짜 슈라이크를 유인할게
150,黎格是伯劳β形态化身,黎格是伯勞β形態化身,Lige is the embodiment of Shrike β,リゲルがシュライクβだ,리겔은 슈라이크β야
151,我就是伯劳β形态化身,我就是伯勞β形態化身,I am the embodiment of Shrike β,私がシュライクβだ,내가 바로 슈라이크β야
152,白糖是伯劳β形态化身,白糖是伯勞β形態化身,Sugar is the embodiment of Shrike β,シュガーがシュライクβだ,슈가가 슈라이크β야
250,阻隔器,阻隔器,inhibitor,意識遮断装置,차단기
251,把实验室大楼人调走,把實驗室大樓人調走,Get everyone out of the lab,実験棟の人払い,실험실 건물 안에 있는 사람들을 내보내줘
252,一起离开,一起離開,Leave together,一緒に逃げる,함께 떠나자
260,你想利用它控制黎格，获得力量,你想利用它控制黎格，獲得力量,You want to use it to control Lige and gain power,リゲルを操って力を手に入れようとしている,"너는 그것을 이용해 리겔을 조종하고, 힘을 얻으려 하고 있어"
261,你想拿着它向罗联邀功,你想拿著它向羅聯邀功,You want to take credit for it with the URNC,ロ連への手土産にしようとしている,너는 그것을 들고 루련에서 공을 세우려 하고 있어
262,你想利用它杀了我和黎格,你想利用它殺了我和黎格,You tried to use it to kill me and Lige,私とリゲルを殺す手段にしようとしている,너는 그것을 이용해 나와 리겔을 죽이려 하고 있어
270,你就是瓦尔沙城惨剧的受害者,你就是瓦爾沙城慘劇的受害者,You are a victim of the tragedy in Warszawa,あんたはワルシャー事件の被害者だ,당신은 바르샤바 사건의 피해자다
271,你就是瓦尔沙城惨剧的制造者,你就是瓦爾沙城慘劇的製造者,You are responsible for the tragedy in Warszawa,あんたはワルシャー事件の首謀者だ,당신은 바르샤바 사건의 주모자다
272,你就是瓦尔沙城惨剧的帮凶,你就是瓦爾沙城慘劇的幫兇,You are an accomplice to what happened in Warszawa,あんたはワルシャー事件の共犯者だ,당신은 바르샤바 사건의 조력자다
280,我也算是人类,我也算是人類,I'm kind of a human too,私だって人間だ,나도 인간이야
281,我不是伯劳细胞,我不是伯勞細胞,I'm not a Shrike cell,私はシュライクじゃない,나는 슈라이크가 아니야
282,伯劳细胞也有它的作用,伯勞細胞也有它的作用,Shrike cells also have a role to play,シュライク細胞にも使い所はある,슈라이크는 그만의 쓸모가 있어
290,提供武器：血弹,提供武器：血彈,Weapons supplied: Blood Bullets,血液弾を提供する,혈탄을 제공해줄게
291,我亲自帮你解决它,我親自幫你解決它,I'll personally help you solve it.,私が片付けてあげる,내가 해결해 줄게
292,自己做诱饵吸引真正的伯劳,自己做誘餌吸引真正的伯勞,Create a decoy to attract the real Shrike,私が本物のシュライクを誘き寄せる,내가 미끼가 되어 진짜 슈라이크를 유인할게
300,黎格是伯劳β形态化身,黎格是伯勞β形態化身,Lige is the embodiment of Shrike β,リゲルがシュライクβだ,리겔은 슈라이크β야
301,我就是伯劳β形态化身,我就是伯勞β形態化身,I am the embodiment of Shrike β,私がシュライクβだ,내가 바로 슈라이크β야
302,白糖是伯劳β形态化身,白糖是伯勞β形態化身,Sugar is the embodiment of Shrike β,シュガーがシュライクβだ,슈가가 슈라이크β야
360,同意,同意,Agree,这些句子在游戏中已删除，无需翻译,동의한다
361,拒绝,拒絕,Refuse,这些句子在游戏中已删除，无需翻译,거절한다
370,路途太远，缺乏交通工具,路途太遠，缺乏交通工具,"It's too far, there is no transportation",这些句子在游戏中已删除，无需翻译,"길은 너무 멀고, 교통 수단은 부족해"
371,位置已经暴露了，去了反而危险,位置已經暴露了，去了反而危險,"The location has been compromised, it's too dangerous",这些句子在游戏中已删除，无需翻译,위치가 이미 노출되어서 가면 오히려 위험해져
380,先找到有联络权限的人,先找到有聯絡許可權的人,Find someone with access,这些句子在游戏中已删除，无需翻译,우선 연락 권한을 가지고 있는 사람을 먼저 찾는다
381,先去基地控制总司令,先去基地控制總司令,Go to the base control commander,这些句子在游戏中已删除，无需翻译,먼저 기지로 가 총사령관을 제어한다
400,告别,告別,Say goodbye,这些句子在游戏中已删除，无需翻译,작별
401,约定,約定,Make a deal,这些句子在游戏中已删除，无需翻译,약속
