key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10000010,蒙德到达指定地点,蒙德到達指定地點,Mendo reaches the specified position,モンドが指定地点に到達,멘도가 지정 위치에 도착
10000020,击败指定敌方单位,擊敗指定敵方單位,Defeat the specified enemy units,指定された敵ユニットを倒す,지정 적 유닛 처치
10000030,击败指定敌方单位,擊敗指定敵方單位,Defeat the specified enemy units,指定された敵ユニットを倒す,지정 적 유닛 처치
10000040,蒙德或卡尔进入垂危状态,蒙德或卡爾進入垂危狀態,Mendo or Carl enters Critical Condition,モンドまたはカールが瀕死状態になる,멘도 혹은 칼이 빈사 상태 진입
1010010010,我方全体角色到达指定地点,我方全體角色到達指定地點,All allied units reach the specified position,味方全員が指定地点に到達,모든 아군이 지정 위치에 도착
1010010020,我方全体角色处于垂危状态,我方全體角色處於垂危狀態,All allied units are in Critical Condition,味方全員が瀕死状態になる,모든 아군이 빈사 상태 진입
1010011010,12回合内达成胜利目标,12回合內達成勝利目標,Achieve the Victory Objective within 12 turns,12ターン以内にメイン目標を達成,12턴 내로 승리 목표 달성
1010011020,我方无人进入垂危状态,我方無人進入垂危狀態,All allied units enter Critical Condition at most once,味方が瀕死状態にならない,아군이 빈사 상태에 진입하지 않음
1010011030,击败8个敌方单位,擊敗8個敵方單位,Defeat 8 enemy units,敵ユニットを8体撃破,적 유닛 8명 처치
10010010,我方全体角色到达指定地点,我方全體角色到達指定地點,All allied units reach the specified position,味方全員が指定地点に到達,모든 아군이 지정 위치에 도착
10010020,我方全体角色处于垂危状态,我方全體角色處於垂危狀態,All allied units are in Critical Condition,味方全員が瀕死状態になる,모든 아군이 빈사 상태 진입
10011010,10回合内达成胜利目标,10回合內達成勝利目標,Achieve the Victory Objective within 10 turns,10ターン以内にメイン目標を達成,10턴 내로 승리 목표 달성
10011020,我方无人进入垂危状态,我方無人進入垂危狀態,No allied units enter Critical Condition,味方が瀕死状態にならない,아군이 빈사 상태에 진입하지 않음
10011030,击败9个敌方单位,擊敗9個敵方單位,Defeat 9 enemy units,敵ユニットを9体撃破,적 유닛 9명 처치
1010020010,我方全体角色到达指定地点,我方全體角色到達指定地點,All allied units reach the specified position,味方全員が指定地点に到達,모든 아군이 지정 위치에 도착
1010020020,我方全体角色处于垂危状态,我方全體角色處於垂危狀態,All allied units are in Critical Condition,味方全員が瀕死状態になる,모든 아군이 빈사 상태 진입
1010122010,12回合内达成胜利目标,12回合內達成勝利目標,Achieve the Victory Objective within 12 turns,12ターン以内にメイン目標を達成,12턴 내로 승리 목표 달성
1010122020,我方单位未暴露,我方單位未暴露,Allied units are not Exposed,味方ユニットが発見されない,아군 중 아무도 노출되지 않음
1010122030,拾取所有物资,拾取所有物資,Pick up all supplies,全ての物資を拾う,모든 물자 회수
10020010,我方全体角色到达指定地点,我方全體角色到達指定地點,All allied units reach the specified position,味方全員が指定地点に到達,모든 아군이 지정 위치에 도착
10020020,我方全体角色处于垂危状态,我方全體角色處於垂危狀態,All allied units are in Critical Condition,味方全員が瀕死状態になる,모든 아군이 빈사 상태 진입
10122010,10回合内达成胜利目标,10回合內達成勝利目標,Achieve the Victory Objective within 10 turns,10ターン以内にメイン目標を達成,10턴 내로 승리 목표 달성
10122020,我方单位未暴露,我方單位未暴露,Allied units are not Exposed,味方ユニットが発見されない,아군 중 아무도 노출되지 않음
10122030,拾取所有物资,拾取所有物資,Pick up all supplies,全ての物資を拾う,모든 물자 회수
1010030010,获取过桥密码,獲取過橋密碼,Obtain the passcode for crossing the bridge,橋のパスワードを入手,다리 통과 암호 획득
1010030020,我方全体角色到达指定地点,我方全體角色到達指定地點,All allied units reach the specified position,味方全員が指定地点に到達,모든 아군이 지정 위치에 도착
1010030030,击败大桥右方的全部敌方单位,擊敗大橋右方的全部敵方單位,Defeat all enemy units to the right of the bridge,橋右側にいる全ての敵ユニットを撃破,다리 우측의 모든 적 유닛 처치
1010030040,我方任意单位暴露,我方任意單位暴露,Any allied unit is Exposed,味方ユニットが発見される,아군 유닛 노출
