key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,寄托,寄託,Entrust,寄託,기탁
11,完成第一章。,完成第一章。,Complete Chapter 1.,第一章をクリアする。,제1장을 완성하세요.
20,侵蚀,侵蝕,Corrosion,侵蝕,침식
21,完成第二章。,完成第二章。,Complete Chapter 2.,第二章をクリアする。,제2장을 완성하세요.
30,拥抱,擁抱,Embrace,抱擁,포옹
31,完成第三章。,完成第三章。,Complete Chapter 3.,第三章をクリアする。,제3장을 완성하세요.
60,偏差,偏差,Deviation,誤差,편차
61,完成战役“偏差”。,完成戰役“偏差”。,"Complete Battle ""Deviation"".",戦役「誤差」を完了する。,전투 ‘편차’를 완성하세요.
70,深入虎穴,深入虎穴,Deep in the Tiger's Den,虎穴に入り込む,호랑이 굴 깊은 곳으로 들어가다
71,完成战役“深入虎穴”。,完成戰役“深入虎穴”。,"Complete Battle ""Deep in the Tiger's Den"".",戦役「虎穴に入り込む」を完了する。,전투 ‘호랑이 굴 깊은 곳으로 들어가다’을 완성하세요.
80,蚕食殆尽,蠶食殆盡,All-Consuming,完全侵食,갉아먹다
81,完成战役“蚕食殆尽”。,完成戰役“蠶食殆盡”。,"Complete Battle ""All-Consuming"".",戦役「完全侵食」を完了する。,전투 ‘갉아먹다’를 완성하세요.
120,退无可退,退無可退,No Escape,断たれた退路,퇴로 없는 길
121,完成战役“退无可退”。,完成戰役“退無可退”。,"Complete Battle ""No Escape"".",戦役「断たれた退路」を完了する。,전투 ‘퇴로 없는 길’을 완성하세요.
110,困兽,困獸,Cornered Beast,絶体絶命,갇힌 짐승
111,完成战役“困兽”。,完成戰役“困獸”。,"Complete Battle ""Cornered Beast"".",戦役「絶体絶命」を完了する。,전투 ‘갇힌 짐승’을 완성하세요.
90,笼中鸟,籠中鳥,Caged Bird,カゴの中の鳥,새장 속의 새
91,完成战役“笼中鸟”。,完成戰役“籠中鳥”。,"Complete Battle ""Caged Bird"".",戦役「カゴの中の鳥」を完了する。,전투 ‘새장 속의 새’를 완성하세요.
130,末路,末路,Dead End,末路,막다른 길
131,完成战役“末路”。,完成戰役“末路”。,"Complete Battle ""Dead End"".",戦役「末路」を完了する。,전투 ‘막다른 길’을 완성하세요.
140,玉石俱焚,玉石俱焚,Mutual Destruction,玉石俱に焚く,옥석구분
141,完成战役“玉石俱焚”。,完成戰役“玉石俱焚”。,"Complete Battle ""Mutual Destruction"".",戦役「玉石俱に焚く」を完了する。,전투 ‘옥석구분’을 완성하세요.
