key_name,ko_kr
10030012,[10030012] 대교의 전자기 바리케이드를 해제할 수 있는 비밀번호. 다릿목의 단말기에서 입력해야 한다.
20080012,"[20080012] 신호탑 해킹을 위해 아테나가 제공한 특수 칩으로, 단말기에 삽입하면 신속하게 시스템을 장악할 수 있다."
20140012,[20140012] 기지 사령관 권한을 가지 출입 카드. 기지 내의 일부 사무실 대문을 열 수 있다.
30090032,[30090032] ‘사신의 수수께끼를 푸신 걸 축하합니다. 이건 선물 교환권입니다. 교환 코드: GERNAWY’
30090042,[30090042] ‘유스보그의 난제를 푸신 걸 축하합니다. 이건 선물 교환권입니다. 교환 코드: OCINEVA’
30090052,"[30090052] ‘벨로보그의 호기심을 푸신 걸 축하합니다, 이건 선물 교환권입니다. 교환 코드: INTHOSMB’"
30090062,"[30090062] 놀이공원 특별 이벤트의 전체 기획을 자세하게 기록한 기획서. 눈에 띄는 것은 볼드체로 표기한 세 단어 GERMANY, OCILIPY, INTGEHEN 이다."
30091012,"[30091012] 사신 필립스가 널 응시하고 있다, 사신이 내리는 보상을 받으려면 그의 소원을 이뤄주어야 한다. 
도둑이 어두운 통로에 몸을 숨겼는데, 통로는 두 개가 있고 돌로 막혀있다. 
한 곳은 해가 떨어진 서쪽이요, 한 곳은 초승달이 뜨는 북쪽이니. 
한 사람의 힘으로는 그를 막을 수 없다. 
너라면 어떻게 사신을 도울 것인가?"
30091021,[30091021] 유스보그의 난제
30091022,"[30091022] 달의 신은 곤혼스러워했고 장난꾸러기인 다른 고향 아이들은 그에게 농담을 건넸다. 
아이가 말하길: 난 고대 그리스에서 태어나 바람과 신비로움을 대표하는 몸이다. 
내가 네 보물을 나의 강철 상자에 넣었도다. 
걱정하지 말거라, 난 네 것을 가지려 하는 게 아니다. 
네가 찾을 수만 있다면, 돌려줄 것이다."
30091031,[30091031] 벨로보그의 호기심
30091032,"[30091032] 평범한 인간이 천계에 오르기 위해 노력을 다해 하늘의 계단을 만들었다. 
태양신은 호기심 때문에 신탁을 하늘의 계단 안에 숨겼다. 
태양신의 신탁을 찾으면 뜻밖의 기쁨을 얻을지어다."
30120012,[30120012] 당일 루련 기지 서쪽 구역의 당직 인원 명단. 위에는 당직 팀장이 써놓은 메모도 있다.
30120021,[30120021] 서치라이트 노선도
30120022,[30120022] 기지의 최신 서치라이트 노선도. 이미 현재의 급박한 상황에 맞춰 야간 서치 계획을 최적화했다.
30120032,[30120032] 현지 특색이 담긴 독주. 한 모금만 마셔도 모든 피로와 추움을 떨쳐낼 수 있다. 현지 루련 병사가 쉬는 시간에 가장 좋아하는 음료이다.
30120042,[30120042] 기지 실험동 전용 키 카드. 대문이 닫히기 전에 자유롭게 드나들 수 있다.
301200412,[301200412] 기지 실험동 전용 키 카드. 대문이 닫히기 전에 자유롭게 드나들 수 있다.
40220012,"[40220012] 감옥 사령관 권한이 있는 키 카드가 있으면, 감옥 정문을 열 수 있다."
40160011,[40160011] 기억 파편
40160012,[40160012] 리겔의 기억 파편
40160021,[40160021] 기억 파편
40160022,[40160022] 리겔의 기억 파편
40160031,[40160031] 기억 파편
40160032,[40160032] 리겔의 기억 파편
40160041,[40160041] 기억 파편
40160042,[40160042] 리겔의 기억 파편
40160051,[40160051] 기억 파편
40160052,[40160052] 리겔의 기억 파편
40160061,[40160061] 기억 파편
40160062,[40160062] 리겔의 기억 파편
40160071,[40160071] 기억 파편
40160072,[40160072] 리겔의 기억 파편
40160081,[40160081] 기억 파편
40160082,[40160082] 리겔의 기억 파편
40260011,[40260011] 기억 파편
40260012,[40260012] 리겔의 기억 파편
40260021,[40260021] 기억 파편
40260022,[40260022] 리겔의 기억 파편
40260031,[40260031] 기억 파편
40260032,[40260032] 리겔의 기억 파편
40260041,[40260041] 기억 파편
40260042,[40260042] 리겔의 기억 파편
40260051,[40260051] 기억 파편
40260052,[40260052] 리겔의 기억 파편
40260061,[40260061] 기억 파편
40260062,[40260062] 리겔의 기억 파편
40260071,[40260071] 기억 파편
40260072,[40260072] 리겔의 기억 파편
40260081,[40260081] 기억 파편
40260082,[40260082] 리겔의 기억 파편
40260211,[40260211] 기억 파편 1
40260221,[40260221] 기억 파편 2
40260231,[40260231] 기억의 파편 3
40260241,[40260241] 기억 파편 4
1001,[1001] 재조합 키
1002,"[1002] 유전자 재구성에 사용되는 비밀 키. 습득한 스킬 또는 특성 1개를 레벨 1로 리셋할 수 있으며, 소비한 포텐셜 키를 돌려받을 수 있다."
1012,"[1012] 과학 연구 자료 파기에 사용하는 디스크. 아이템 1개의 개조 진도를 레벨 1로 리셋할 수 있으며, 소비한 연구 개발 포인트를 돌려받을 수 있다."
1022,[1022] 시간의 흐름을 가속화하는 데 사용되는 아이템. 제4막에서 시야 점프를 시작할 때 소모된 점프 포인트 1포인트로 다음 시간축에서 잠금 해제된 전투 1개를 건너뛸 수 있다.
1031,[1031] 복원 키트
1032,"[1032] 무기를 리셋하는 복원 키트. 임의의 무기 1개를 레벨 1로 리셋할 수 있으며, 소비한 무기 개조 재료 및 부품을 돌려받을 수 있다."
400002,[400002] 각종 총기의 설계도. 무기의 강화에 쓰인다. 무기를 레벨 2로 개조할 수 있다.
400012,[400012] 총기의 종합 성능을 업그레이드할 수 있는 설계도. 무기의 심층 강화 개조에 쓰인다. 무기를 레벨 3으로 개조할 수 있다.
400032,[400032] 다른 무기 우위에 따라 특수 개조한 설계도. 무기를 레벨 4로 개조할 수 있다.
400041,[400041] 엘리트 개조 키트
